tabular-actgan-659c3ee9e6d21c30ddf4418d-data_preview
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001003,Female,Yes,2,Graduate,No,150,3511.35018137,230.0,130.0,1.0,Semiurban,Y
LP001155,Male,Yes,1,Graduate,No,150,0.0,265.0,350.0,0.0,Urban,Y
LP001095,Female,Yes,0,Graduate,No,2153,0.0,266.0,368.0,1.0,Rural,Y
LP001047,Male,Yes,,Graduate,No,3978,0.0,125.0,348.0,1.0,Rural,Y
LP001155,Male,Yes,0,Graduate,No,13168,0.0,9.0,12.0,1.0,Urban,Y
LP001038,Male,No,1,Not Graduate,,1806,4515.76480352,248.0,348.0,1.0,Rural,Y
LP001910,Male,No,0,Graduate,No,6716,0.0,94.0,369.0,1.0,Urban,Y
LP001032,,Yes,0,Graduate,Yes,150,3891.27426877,,366.0,1.0,Semiurban,Y
LP001155,Male,No,,Not Graduate,No,18731,0.0,9.0,353.0,1.0,Urban,Y
LP001050,Male,No,1,Not Graduate,No,150,0.0,188.0,264.0,1.0,Urban,Y
LP001155,Male,No,1,Graduate,No,9505,5770.43855242,219.0,362.0,1.0,Semiurban,Y
LP001038,Female,Yes,2,Not Graduate,No,150,1201.46262268,134.0,348.0,1.0,Semiurban,Y
LP001531,Male,No,0,Graduate,No,5798,0.0,28.0,368.0,1.0,Rural,Y
LP001032,Male,No,3,Graduate,No,7575,608.3588326,9.0,349.0,1.0,Urban,Y
LP001038,Male,Yes,,Graduate,No,150,2335.05039653,,365.0,1.0,Rural,Y
LP001034,Male,No,0,Graduate,No,150,21.94957242,11.0,351.0,1.0,Rural,Y
LP001155,Male,Yes,0,Graduate,No,150,0.0,9.0,348.0,1.0,Rural,Y
LP001151,Male,No,0,Graduate,No,13949,829.26622801,69.0,355.0,1.0,Semiurban,Y
LP001119,Male,No,,Graduate,No,150,1392.91530727,269.0,352.0,1.0,Semiurban,Y
LP001038,Female,Yes,0,Graduate,No,13703,0.0,9.0,395.0,1.0,Semiurban,Y
